Producer-0: 30, 24, 40, 33, 50, 55, 1, 17, 94, 65, 11, 91, 45, 53, 20


Producer-1: 80, 57, 53, 5, 41, 11, 71, 96, 73, 18, 7, 49, 69, 94, 41


Producer-1: 5, 2, 55, 46, 49, 39, 12, 90, 60, 91, 13, 56, 79, 14, 15


Producer-0: 93, 13, 20, 47, 81, 8, 75, 28, 37, 74, 12, 56, 62, 24, 60


Producer-1: 17, 70, 5, 13, 68, 52, 84, 2, 14, 61, 79, 64, 86, 64, 6


Producer-0: 55, 29, 88, 42, 86, 80, 19, 82, 64, 71, 45, 64, 95, 17, 48


Producer-1: 72, 80, 0, 42, 83, 74, 69, 87, 74, 88, 14, 99, 67, 86, 47


Producer-0: 84, 57, 35, 41, 41, 15, 96, 87, 36, 71, 34, 86, 94, 11, 98


Producer-0: 60, 43, 17, 12, 85, 58, 34, 97, 10, 24, 55, 16, 69, 62, 91


Producer-1: 46, 39, 34, 82, 30, 15, 69, 61, 2, 54, 49, 46, 3, 9, 35


Producer-1: 61, 71, 24, 99, 67, 53, 66, 1, 70, 81, 56, 33, 85, 63, 56


Producer-0: 67, 17, 95, 27, 9, 31, 14, 33, 80, 45, 98, 49, 59, 9, 85


Producer-0: 43, 12, 51, 48, 32, 64, 26, 24, 79, 30, 43, 72, 41, 90, 37


Producer-1: 90, 80, 32, 12, 92, 72, 26, 90, 64, 81, 29, 71, 81, 15, 64


Producer-0: 81, 42, 51, 96, 10, 72, 5, 10, 5, 48, 47, 11, 60, 34, 62


Producer-1: 63, 62, 52, 65, 99, 0, 5, 32, 67, 72, 40, 69, 98, 48, 3


Producer-0: 77, 90, 67, 41, 44, 99, 62, 50, 90, 98, 81, 15, 88, 6, 96


Producer-1: 9, 6, 23, 55, 13, 65, 67, 70, 13, 27, 31, 76, 58, 75, 58


